id	kind	item	date_opened	trigger_date	status	note
W0-D1	deferral	promotion-gate review UI (constants + procedure shipped instead)	2026-08-29	2026-11-27	open	revisit on the measured promotion event rate; a fortnightly bookkeeping event does not justify a product surface
W0-D2	deferral	SSE migration (keep the working 2s/3s/10s polling)	2026-08-29	2026-12-28	open	revisit only once the L3 browser lane can assert SSE event-name contracts - mismatched names are silently discarded
W0-D3	deferral	percentile/SLO dashboards	2026-08-29	2027-02-27	open	declined at home-lab scale; revisit only on a measured need; the floor is healthz + watchdog ladder + nightly recycle + dead-man probe
W0-D4	deferral	central journald shipping	2026-08-29	2026-12-28	open	optional capacity-ledger line; no second machine the operator reads exists today
W0-D5	deferral	root-free overlay redesign (activation-time mount units)	2026-08-29	2026-12-28	open	proceeds only if the W3 kiosk sudoers lock proves insufficient
W0-A1	adoption	L1 CI lane (go vet + go test -race + igir fixture gate on pkgs/arcade-webapp)	2026-08-29	2027-02-27	open	gate-rot review: is the lane still catching the defect class it was built for
W0-A2	adoption	L2 CI lane (arcade-webapp-vm harness as testers.runNixOSTest flake check)	2026-08-29	2027-02-27	open	gate-rot review after its first promotion cycle; keep the fail-loud KVM probe with it
W0-A3	adoption	go in the flake devShell (L1 toolchain, pinned by flake.lock)	2026-08-29	2027-02-27	open	review alongside the Go pin at the next flake input bump
W1-D1	deferral	remote aria2 RPC access (Cloudflare Access policy in front of a re-added rpc.jupiter.au tunnel route)	2026-08-29	2026-09-30	open	daemon is loopback-only + LAN nginx /jsonrpc proxy; re-add the tunnel route only behind a Cloudflare Access hostname policy (Zero Trust dashboard), never secret-only on a public ingress
W1-X1	decommission	public aria2 JSON-RPC ingress (rpc.jupiter.au:6800 tunnel route, secret-only auth at the public edge)	2026-08-29	2026-08-29	done	route removed from europa extraIngress; daemon rebound to loopback with the secret moved off argv via LoadCredential — see SPEC.md W1 record
W3-A1	adoption	L3 CI lane (arcade-webapp-browser-vm: chromium-in-VM Playwright over the L2 harness; fails on any 4xx and any duplicate panel id; negative-proven against the 403 class on landing)	2026-08-29	2027-02-27	open	gate-rot review after its first promotion cycle; keep the negative-test re-proof with every framework/Playwright bump; if hosted KVM disappears, switch to the nspawn contingency (docs/plans/arcade-l3-nspawn-contingency.md) instead of deleting the gate
W4c-X1	decommission	Type=notify + WatchdogSec session supervision (the W4c measured-start wrapper: a PAMName unit's cgroup drains into the logind session scope, so sd_notify is attributed to session-N.scope and every start timed out at 180 s; via the old reboot escalation it reboot-looped callisto 2026-08-31 while the frontend rendered fine)	2026-08-31	2027-02-27	done	proven impossible in a PAMName unit — session units are Type=simple again (gen-52 shape); Restart=always + 6/300s start limits + journal-only OnFailure observer retained; revisit only as a cgroup-compatible companion-watchdog design on a measured need
